ID,Cell_type,Brain_region,Trough_Peak_latency,ACG_tau_decay,ACG_tau_rise,Peak_asymmetry,Burst_index,RF_violation
105,Wide Interneuron,LGd,0.533333333333333,40.7758700491534,3.25720982283972,1.02467822633416,3.87085346215781,3.5804549283909
106,Wide Interneuron,LGd,0.55,4.74419480694756,4.63855799262682,0.639654288316729,6.84745762711865,1.76991150442478
107,Narrow Interneuron,LGd,0.425,17.9639257564302,5.40701962862001,0.895592552822208,9.61904761904762,0
108,Wide Interneuron,VISam,0.575,60.6330266401305,22.8883700878405,0.87493769934664,2.92569269521411,0.66386368665634
109,Wide Interneuron,VISam,0.475,16.2578342327516,18.0686945225077,0.995800905052264,1.515,2.50599259097843
110,Narrow Interneuron,LGd,0.425,157.080495909935,0.571865526827752,0.846219369720801,9.98901098901099,0.757002271006813
111,Wide Interneuron,VISam,0.583333333333333,13.3550756765934,22.8398244810323,1.02325808369861,0,0
112,Wide Interneuron,CA1,0.908333333333333,12.6325382818944,3.27090731693845,0.460475004803839,1.2746844840386,0.300932891965092
113,Wide Interneuron,VISam,0.8,9.1467298903893,9.14588265481587,0.768376969612318,0.0230094543797699,0.0714745193338575
114,Pyramidal Cell,LGd,0.475,1.07503147438121,0.913191592885574,0.94041425029718,4.04899777282851,0
115,Narrow Interneuron,LGd,0.358333333333333,6.23993361951793,0.239539499668729,0.984060015930721,9.30839195622824,22.1183800623053
116,Narrow Interneuron,LGd,0.425,29.0591322074139,35.314351562926,0.86737033801004,5.61111111111112,0
117,Narrow Interneuron,VISam,0.366666666666667,38.3132497363408,19.5478847913739,1.03566073572127,0.315298616666342,1.20312813314618
118,Wide Interneuron,VISam,0.775,7.00962140920846,4.8731166640301,0.876837920023312,1.63562753036437,0
119,Wide Interneuron,VISam,0.65,17.2918812200245,6.42458451955046,0.922513805250506,0,0
120,Narrow Interneuron,LGd,0.416666666666667,2.41522109228554,2.16738075740276,0.910462854157977,4.48224852071005,3.26305220883534
121,Pyramidal Cell,LGd,0.55,7.09887732185854,1.87735050927907,0.642099290283774,25.25,7.8125
122,Narrow Interneuron,DG,0.4,13.4401641739746,6.30604648747287,-0.668946484229721,6.1350861287398,6.32123359831434
123,Narrow Interneuron,LGd,0.416666666666667,34.4995725592487,4.85041532211221,0.903473005099609,9.98901098901099,1.40056022408964
124,Narrow Interneuron,LGd,0.408333333333333,17.3374374259766,5.93180185883157,0.949939073267759,0,0
125,Narrow Interneuron,LGd,0.4,9.13842426983445,3.41394888065867,1.05907792031335,9.74561403508771,1.45137880986938
126,Wide Interneuron,LGd,0.55,17.3374374259766,5.93180185883157,0.642236604755553,0,0
127,Narrow Interneuron,VISam,0.266666666666667,36.634986195718,23.2346514746298,0.0822924763894921,0.339331917358563,0.124254473161034
128,Narrow Interneuron,ZI,0.333333333333333,36.0170313715408,49.7230401833188,0.973999331153949,2.50709219858156,1.25707102451288
129,Pyramidal Cell,VISam,0.675,15.3583998454064,1.40237552489726,0.770927593323102,6.3455497382199,0
130,Narrow Interneuron,LGd,0.416666666666667,5.02263820526848,5.00772009074071,0.946443560778245,2.83585313174946,2.25861095426313
131,Narrow Interneuron,LGd,0.4,134.575919358343,1.20687369403052,0.996803595015047,7.08395324123273,1.44962551340904
132,Narrow Interneuron,LGd,0.391666666666667,181.730431866166,1.06536088797717,0.560904096069676,13.3342446423847,17.5853639302894
133,Narrow Interneuron,LGd,0.366666666666667,103.955096765635,0.479846024360223,0.938699417818046,17.6998316647471,7.36987563334869
134,Narrow Interneuron,LGd,0.4,5.68883621737088,3.9796778549373,0.99693781412659,2.92385147891756,5.22388059701493
135,Narrow Interneuron,VISam,0.4,77.0164120452219,0.202614462760022,1.01731643028326,33.6666666666667,0
136,Wide Interneuron,LGd,0.45,17.3339226820207,5.90348342356871,0.892726342245866,0,0
137,Narrow Interneuron,LGd,0.391666666666667,21.7000354471635,1.14818868510841,0.877877562147038,4.55156206801217,4.81734243275793
138,Pyramidal Cell,LGd,0.458333333333333,1.98939160353813,1.67051507124508,0.935680711802264,4.56003842459174,3.48128807658834
139,Wide Interneuron,LGd,0.558333333333333,7.35004565523658,7.1839523949857,0.60353959231874,0,0
140,Narrow Interneuron,LGd,0.375,23.860473878154,1.22271647193154,0.837888597934515,7.32956946645536,10.9590699927343
141,Narrow Interneuron,LGd,0.275,147.686233841482,5.26412010998813,-0.0664100440268971,3.17278757871461,0.099304865938431
142,Wide Interneuron,LGd,0.466666666666667,69.8306782734585,5.6760247466224,1.01416764826462,3.01192842942346,4.45885691122821
143,Wide Interneuron,LGd,0.441666666666667,8.01679282794843,5.17264872490182,0.879890044473799,4.39130434782609,1.55763239875389
144,Narrow Interneuron,LGd,0.408333333333333,55.4393523313338,13.8057322338542,0.760343987947147,3.89332138054684,6.29280029613178
145,Narrow Interneuron,DG,0.225,1.33993418582625,1.23765270115115,1.00086642149172,338.647058823529,38.2165605095541
146,Narrow Interneuron,DG,0.225,4.53500231636416,0.248406127925532,1.00086642149172,256.639344262295,29.5404814004376
147,Narrow Interneuron,DG,0.416666666666667,6.23738155514268,0.114230705455847,0.816200753708268,565.6,2.94117647058824
148,Narrow Interneuron,DG,0.233333333333333,29.5690235711302,1.96436591869364,0.940908889890589,2.66520053388081,7.02836843268234
149,Narrow Interneuron,ZI,0.15,175.496357968481,6.50890354656855,1.01533846305058,0.0925072076104039,0.192957067052581
